Location,Time,Hospital_Stay,MRI_Units,CT_Scanners,Hospital_Beds
0,1992,7,1,17,1
0,1994,6,2,18,2
0,1995,6,3,21,3
0,1996,6,3,22,3
0,1997,6,4,23,4
0,1998,6,5,24,5
0,1999,6,6,26,6
0,2000,6,4,26,4
0,2001,6,4,29,4
0,2002,6,4,34,4
0,2003,6,4,41,4
0,2004,6,4,46,4
0,2005,6,4,52,4
0,2006,6,5,57,5
0,2009,5,6,39,6
0,2010,5,6,43,6
0,2011,5,6,44,6
0,2012,5,6,50,6
0,2013,5,14,54,14
0,2014,5,15,56,15
0,2015,4,14,60,14
0,2016,4,14,63,14
0,2017,4,14,64,14
1,1996,10,8,24,8
1,1997,8,9,25,9
1,1998,8,9,26,9
1,1999,8,11,26,11
1,2000,8,11,26,11
1,2001,7,12,27,12
1,2002,7,13,27,13
1,2003,7,14,27,14
1,2004,7,16,29,16
1,2005,7,16,30,16
1,2006,7,17,30,17
1,2007,7,18,30,18
1,2008,7,18,30,18
1,2009,7,18,29,18
1,2010,7,19,30,19
1,2011,6,19,30,19
1,2012,6,19,30,19
1,2013,6,19,30,19
1,2014,6,20,29,20
1,2015,6,21,29,21
1,2016,6,22,29,22
1,2017,6,23,29,23
1,2018,6,24,29,24
2,2003,8,7,10,7
2,2004,8,7,11,7
2,2005,8,7,13,7
2,2006,8,7,13,7
2,2007,8,8,13,8
2,2008,7,10,14,10
2,2009,7,11,14,11
2,2010,7,11,14,11
2,2011,7,11,14,11
2,2012,7,11,15,11
2,2013,7,11,23,11
2,2014,7,12,22,12
2,2015,7,12,24,12
2,2016,7,12,24,12
2,2017,7,12,24,12
2,2018,7,12,24,12
3,1990,10,1,7,1
3,1991,10,1,7,1
3,1992,10,1,7,1
3,1993,10,1,8,1
3,1994,7,1,8,1
3,1995,7,1,8,1
3,1997,7,2,8,2
3,2001,7,4,10,4
3,2003,7,5,10,5
3,2004,7,5,11,5
3,2005,7,6,12,6
3,2006,7,6,12,6
3,2007,8,7,13,7
3,2009,8,8,14,8
3,2010,8,8,14,8
3,2011,8,9,15,9
3,2012,8,9,15,9
3,2013,8,9,15,9
3,2015,7,10,15,10
3,2017,7,10,15,10
4,1991,12,0,2,0
4,1992,12,0,5,0
4,1993,11,1,6,1
4,1994,11,1,6,1
4,1995,10,1,7,1
4,2000,8,2,10,2
4,2005,8,3,12,3
4,2007,7,4,13,4
4,2008,7,5,13,5
4,2009,7,6,14,6
4,2010,7,6,15,6
4,2011,6,7,15,7
4,2012,6,7,15,7
4,2013,6,7,15,7
4,2014,6,7,15,7
4,2015,6,8,16,8
4,2016,6,9,16,9
4,2017,6,9,16,9
4,2018,6,10,16,10
6,2000,4,5,11,5
6,2002,4,9,14,9
6,2003,4,9,14,9
6,2004,3,10,14,10
9,1990,7,2,10,2
9,1991,7,2,10,2
9,1992,6,2,11,2
9,1993,6,3,11,3
9,1994,6,3,12,3
9,1995,6,4,12,4
9,1996,6,6,12,6
9,1997,6,7,12,7
9,1998,6,8,12,8
9,1999,6,9,13,9
9,2000,7,10,14,10
9,2001,7,11,14,11
9,2002,7,12,13,12
9,2003,7,13,14,13
9,2004,7,14,14,14
9,2005,7,15,15,15
9,2006,7,15,15,15
9,2007,7,15,16,15
9,2009,7,16,20,16
9,2010,7,19,21,19
9,2011,7,20,21,20
9,2012,7,22,22,22
9,2013,7,22,22,22
9,2014,7,23,21,23
9,2015,7,26,22,26
9,2016,6,25,24,25
9,2017,6,27,25,27
9,2018,6,27,16,27
10,1998,6,1,7,1
10,1999,6,2,7,2
10,2000,6,2,7,2
10,2001,6,2,7,2
10,2002,6,2,8,2
10,2003,6,3,8,3
10,2004,6,4,9,4
10,2005,6,5,10,5
10,2006,6,5,10,5
10,2007,6,5,10,5
10,2008,6,6,11,6
10,2009,6,6,11,6
10,2010,6,7,12,7
10,2011,6,8,13,8
10,2012,6,9,13,9
10,2013,6,9,14,9
10,2014,6,11,15,11
10,2015,6,13,17,13
10,2016,6,14,17,14
10,2017,5,14,17,14
10,2018,5,15,18,15
5,2000,10,14,25,14
5,2001,10,16,25,16
5,2002,10,18,27,18
5,2003,9,18,28,18
5,2004,9,19,29,19
5,2005,9,20,30,20
5,2006,9,21,29,21
5,2007,8,22,30,22
5,2008,8,24,31,24
5,2009,8,25,31,25
5,2010,8,27,32,27
5,2011,8,29,33,29
5,2012,8,29,34,29
5,2013,8,29,34,29
5,2014,8,30,35,30
5,2015,8,34,35,34
5,2016,8,34,35,34
5,2017,8,35,35,35
12,2005,6,13,25,13
12,2006,6,17,27,17
12,2007,5,18,29,18
12,2008,5,20,31,20
12,2009,5,22,31,22
12,2010,5,23,33,23
12,2011,5,22,33,22
12,2012,5,22,33,22
12,2013,6,22,34,22
12,2014,6,23,35,23
13,1990,10,0,2,0
13,1991,10,0,3,0
13,1992,10,0,3,0
13,1993,10,0,4,0
13,1994,10,1,4,1
13,1995,9,1,5,1
13,1996,9,1,5,1
13,1997,8,1,5,1
13,1998,8,1,5,1
13,1999,8,1,5,1
13,2000,7,2,6,2
13,2001,7,2,6,2
13,2002,7,2,6,2
13,2003,7,3,7,3
13,2004,7,3,7,3
13,2005,6,3,7,3
13,2006,6,3,7,3
13,2007,6,3,7,3
13,2008,6,3,7,3
13,2009,6,3,7,3
13,2010,6,3,7,3
13,2011,6,3,7,3
13,2012,6,3,8,3
13,2013,6,3,8,3
13,2014,6,3,8,3
13,2015,6,4,8,4
13,2016,6,4,9,4
13,2017,6,5,9,5
13,2018,5,5,9,5
14,2006,6,8,13,8
14,2007,6,8,14,8
14,2008,6,9,14,9
14,2009,6,12,15,12
14,2010,6,12,15,12
14,2011,6,13,16,13
14,2012,6,12,17,12
14,2013,6,13,18,13
14,2014,6,13,17,13
14,2015,6,14,18,14
14,2016,6,15,17,15
14,2017,6,15,19,15
14,2018,6,16,20,16
17,1997,7,4,15,4
17,1998,7,6,18,6
17,1999,7,6,19,6
17,2000,7,8,21,8
17,2001,7,9,23,9
17,2002,7,11,24,11
17,2003,7,12,24,12
17,2004,7,14,26,14
17,2005,7,15,28,15
17,2006,7,17,29,17
17,2007,7,19,31,19
17,2008,7,20,31,20
17,2009,7,22,32,22
17,2010,7,22,32,22
17,2011,7,24,33,24
17,2012,7,25,33,25
17,2013,7,25,33,25
17,2014,7,26,33,26
17,2015,7,28,33,28
17,2016,7,28,34,28
17,2017,7,29,35,29
17,2018,7,29,35,29
18,1996,33,19,75,19
18,1999,27,23,84,23
18,2002,22,35,93,35
18,2008,19,43,97,43
18,2011,18,47,101,47
18,2014,17,52,107,52
18,2017,16,55,111,55
19,1993,11,2,12,2
19,1994,11,3,14,3
19,1995,11,4,16,4
19,1996,11,5,20,5
19,1997,11,5,21,5
19,2000,11,5,28,5
19,2001,11,7,27,7
19,2002,11,8,31,8
19,2003,11,9,32,9
19,2010,10,20,35,20
19,2011,10,21,36,21
19,2012,9,23,37,23
19,2013,9,24,38,24
19,2014,8,26,37,26
19,2015,8,26,37,26
19,2016,8,28,38,28
19,2017,8,29,38,29
19,2018,8,30,39,30
21,2002,8,4,25,4
21,2003,7,11,27,11
21,2004,7,11,28,11
21,2005,7,11,28,11
21,2006,7,11,28,11
21,2007,8,10,27,10
21,2008,7,12,27,12
21,2009,8,14,26,14
21,2010,8,14,26,14
21,2011,7,14,25,14
21,2012,7,13,24,13
21,2013,7,13,22,13
21,2014,7,13,22,13
21,2015,7,12,18,12
21,2016,7,12,17,12
21,2017,7,12,17,12
21,2018,8,12,16,12
23,1990,11,1,7,1
23,1992,11,2,7,2
23,1993,10,2,9,2
23,2004,8,6,7,6
23,2005,7,7,8,7
23,2006,7,8,8,8
23,2007,6,8,8,8
23,2008,6,10,10,10
23,2009,6,11,11,11
23,2010,6,12,12,12
23,2011,6,13,13,13
23,2012,6,12,11,12
23,2013,7,11,12,11
23,2014,7,13,13,13
23,2015,5,13,14,13
23,2016,5,13,13,13
23,2017,5,13,13,13
23,2018,5,13,14,13
24,2003,5,4,11,4
24,2007,6,9,12,9
24,2008,6,10,12,10
24,2009,6,10,15,10
24,2010,6,11,16,11
24,2011,6,11,16,11
24,2012,6,11,15,11
24,2013,6,11,17,11
24,2015,5,13,18,13
24,2016,5,14,18,14
24,2017,5,14,17,14
25,2005,8,2,8,2
25,2006,8,2,9,2
25,2007,7,3,10,3
25,2008,8,3,11,3
25,2009,7,4,12,4
25,2010,7,5,14,5
25,2011,7,5,14,5
25,2012,7,5,15,5
25,2013,7,7,17,7
25,2014,7,7,16,7
25,2015,7,8,17,8
25,2016,7,8,17,8
25,2017,7,8,17,8
25,2018,6,9,18,9
26,2006,9,6,26,6
26,2007,8,9,26,9
26,2008,8,9,28,9
28,2003,7,2,9,2
28,2004,7,4,10,4
28,2005,7,4,11,4
28,2006,7,4,12,4
28,2007,7,6,14,6
28,2008,7,6,14,6
28,2009,7,6,13,6
28,2010,7,7,14,7
28,2011,6,7,15,7
28,2012,6,6,16,6
28,2013,6,7,15,7
28,2014,7,8,17,8
28,2015,7,9,18,9
28,2016,7,9,17,9
28,2017,7,10,17,10
28,2018,7,10,18,10
7,2010,6,12,16,12
7,2011,6,14,17,14
7,2012,6,15,17,15
7,2013,6,15,18,15
7,2014,6,16,18,16
7,2015,6,16,18,16
7,2016,6,16,18,16
7,2017,6,16,19,16
7,2018,6,17,19,17
30,2002,6,1,5,1
30,2003,6,1,6,1
30,2004,6,2,7,2
30,2005,5,3,7,3
30,2006,5,4,9,4
30,2007,4,6,10,6
30,2008,4,8,11,8
30,2009,4,9,12,9
30,2010,4,9,12,9
30,2011,4,10,13,10
30,2012,4,10,14,10
30,2013,4,10,14,10
30,2014,4,10,14,10
30,2015,4,10,14,10
30,2016,4,11,15,11
30,2017,4,11,15,11
30,2018,4,11,15,11
11,2001,8,6,7,6
11,2002,8,5,7,5
11,2003,7,5,7,5
11,2004,7,5,7,5
11,2005,7,5,7,5
11,2006,7,6,8,6
11,2008,6,6,7,6
11,2010,6,7,8,7
11,2011,6,7,8,7
11,2012,6,7,9,7
11,2013,6,7,9,7
11,2014,6,7,9,7
31,1997,6,11,24,11
31,1999,6,13,25,13
31,2001,6,17,29,17
31,2003,6,19,29,19
31,2004,6,27,32,27
31,2006,6,27,34,27
31,2007,6,26,34,26
31,2012,5,34,44,34
31,2013,5,36,44,36
31,2014,6,38,41,38
31,2015,6,39,41,39
31,2016,6,37,42,37
31,2017,6,38,43,38
8,2005,6,2,7,2
8,2006,6,4,7,4
8,2007,6,5,11,5
8,2008,6,8,15,8
8,2009,6,7,15,7
8,2010,6,8,16,8
8,2011,6,10,17,10
8,2012,6,10,17,10
8,2013,6,11,19,11
8,2014,6,11,20,11
8,2015,6,12,17,12
8,2016,6,14,17,14
8,2017,6,14,18,14
8,2018,6,14,19,14
16,2000,7,1,6,1
16,2001,6,1,6,1
16,2002,6,1,6,1
16,2003,6,2,6,2
16,2004,6,2,6,2
16,2005,6,2,6,2
16,2006,6,2,6,2
16,2007,5,2,8,2
16,2008,5,2,8,2
16,2009,5,2,9,2
16,2010,5,2,9,2
16,2011,5,3,9,3
16,2012,5,3,9,3
16,2013,5,3,9,3
16,2014,5,4,9,4
16,2015,5,4,10,4
16,2016,5,5,10,5
16,2017,5,5,10,5
16,2018,5,5,10,5
27,1993,14,1,2,1
27,1994,14,1,1,1
27,1995,14,1,2,1
27,1996,14,1,2,1
27,1997,14,1,2,1
27,1998,14,1,2,1
27,1999,14,1,2,1
27,2000,14,1,3,1
27,2001,13,1,3,1
27,2002,13,1,3,1
27,2004,12,1,3,1
27,2005,12,2,4,2
27,2006,12,2,4,2
27,2007,11,2,4,2
27,2008,11,2,5,2
27,2009,11,3,6,3
27,2010,11,3,7,3
27,2011,11,3,8,3
27,2012,11,4,9,4
27,2013,10,4,11,4
27,2014,10,4,12,4
27,2015,10,5,13,5
27,2016,9,5,13,5
27,2017,9,5,13,5
27,2018,9,5,13,5
29,2006,6,6,10,6
29,2008,6,6,12,6
29,2009,6,7,12,7
29,2010,6,8,13,8
29,2011,7,9,13,9
29,2012,7,9,13,9
29,2013,7,9,12,9
29,2014,7,9,13,9
29,2015,6,9,13,9
29,2016,6,11,14,11
29,2017,7,12,15,12
29,2018,7,12,16,12
15,2007,6,19,32,19
15,2008,6,19,32,19
15,2009,6,22,35,22
15,2010,5,22,38,22
15,2011,5,22,41,22
15,2012,6,22,41,22
15,2013,6,22,40,22
15,2014,6,21,40,21
15,2015,6,21,39,21
15,2016,6,21,39,21
15,2017,6,20,44,20
15,2018,6,20,48,20
22,2003,8,1,14,1
22,2004,8,1,15,1
22,2005,7,3,18,3
22,2006,7,3,18,3
22,2007,7,5,22,5
22,2008,7,7,24,7
22,2009,6,7,26,7
22,2010,6,8,29,8
22,2011,6,9,31,9
22,2012,6,10,32,10
22,2013,6,10,35,10
22,2014,6,13,36,13
22,2015,6,13,37,13
22,2016,6,14,36,14
22,2017,6,14,39,14
22,2018,6,13,38,13
20,2000,9,0,7,0
20,2001,9,1,7,1
20,2002,9,1,9,1
20,2003,8,1,9,1
20,2004,8,1,12,1
20,2005,8,2,12,2
20,2006,8,3,13,3
20,2007,8,3,11,3
20,2008,8,4,14,4
20,2009,7,5,16,5
20,2010,7,5,19,5
20,2011,7,6,20,6
20,2012,7,10,24,10
20,2013,7,10,24,10
20,2014,7,11,22,11
20,2015,7,11,21,11
20,2016,7,12,23,12
20,2017,6,12,23,12
20,2018,6,12,24,12
